Package name,               Short description
termdown,                   Terminal countdown
youtube-playlist-to-m3u,    A quick tool to extract a M3U playlist from a youtube playlist url
git-cola,                   sleek git gui client
ranger-fm,                  terminal file manager with vim keybindings
pillow,                     image preview in terminal
xonsh,                      shell written in python
unrpa,                      unpack rpa files
